ObjectID,GridX,GridY
5,5,5
5,5,6
5,5,7
5,5,8
5,5,9
5,5,10
5,5,11
5,5,12
5,5,13
5,5,14
5,6,5
5,6,6
5,6,7
5,6,8
5,6,9
5,6,10
5,6,11
5,6,12
5,6,13
5,6,14
5,7,5
5,7,6
5,7,7
5,7,8
5,7,9
5,7,10
5,7,11
5,7,12
5,7,13
5,7,14
5,8,5
5,8,6
5,8,7
5,8,8
5,8,9
5,8,10
5,8,11
5,8,12
5,8,13
5,8,14
5,9,5
5,9,6
5,9,7
5,9,8
5,9,9
5,9,10
5,9,11
5,9,12
5,9,13
5,9,14
5,10,5
5,10,6
5,10,7
5,10,8
5,10,9
5,10,10
5,10,11
5,10,12
5,10,13
5,10,14
5,11,5
5,11,6
5,11,7
5,11,8
5,11,9
5,11,10
5,11,11
5,11,12
5,11,13
5,11,14
5,12,5
5,12,6
5,12,7
5,12,8
5,12,9
5,12,10
5,12,11
5,12,12
5,12,13
5,12,14
5,13,5
5,13,6
5,13,7
5,13,8
5,13,9
5,13,10
5,13,11
5,13,12
5,13,13
5,13,14
5,14,5
5,14,6
5,14,7
5,14,8
5,14,9
5,14,10
5,14,11
5,14,12
5,14,13
5,14,14
5,5,15
5,6,15
5,7,15
5,8,15
5,9,15
5,10,15
5,11,15
5,12,15
5,13,15
5,14,15
